,Time (BJD-2454833),Relative Flux
0,2228.8205675375552,0.9980501929500633
1,2228.8415720462162,0.9984946783926568
2,2228.8625765548773,0.9989849562884626
3,2228.8835810635383,0.9991118810229098
4,2228.9003639325883,0.9994540800618607
5,2228.9213684412493,0.9992071990097594
6,2228.9423729499104,0.9995705521711181
7,2228.98432271615,1.0002654028742095
8,2229.005327224811,1.000607477477146
9,2229.026331733472,1.0012001662126089
10,2229.047336242133,1.0016762584028
11,2229.0641042984125,1.0019725405525244
12,2229.0851088070735,1.0023852948115062
13,2229.1061133157345,1.0026004446799957
14,2229.1271178243956,1.0028579027933007
15,2229.169067590635,1.0027873475732698
16,2229.1900720992962,1.0028932426213233
17,2229.2278594770073,1.0029567049885468
18,2229.2488639856683,1.003076661306201
19,2229.2908730029903,1.0026921540224343
20,2229.3328820203124,1.0023712335419055
21,2229.412619164263,1.0010342930057283
22,2229.496637198907,1.0001419623481589
23,2229.5344097638476,0.9997468780031884
24,2229.5554142725086,0.9995175424290843
25,2229.5763595300873,0.9995034811594837
26,2229.5973640387483,0.9992777542297904
27,2229.6183685474093,0.9993517936582179
28,2229.6771604337814,0.9995598506739
29,2229.7401739597644,0.9998385873456272
30,2229.761119217343,1.0004240587922684
31,2229.782123726004,1.0003958118170533
32,2229.803128234665,1.0008014732232278
33,2229.819911103715,1.0008826055044626
34,2229.861920121037,1.000967346430108
35,2229.903929138359,1.0012988439718409
36,2229.924874395938,1.001489355509526
37,2229.945878904599,1.0012742056410364
38,2229.96688341326,1.0012705969966258
39,2230.0256604868614,1.0007733506840266
40,2230.0466649955224,1.000621663182761
41,2230.1264613905555,0.9996974769055653
42,2230.1474658992165,0.9993764319890224
43,2230.252429191439,0.9983712378666062
44,2230.2692120604893,0.9982864969409606
45,2230.2902165691503,0.9981736334761139
46,2230.3112210778113,0.9982864969409606
47,2230.33216633539,0.9983782062833993
48,2230.353170844051,0.9982583744017595
49,2230.374175352712,0.9980325230360519
50,2230.416184370034,0.9980184617664515
51,2230.432967239084,0.9982441886961448
52,2230.453971747745,0.9983041668549718
53,2230.474976256406,0.998413546111422
54,2230.4959659522965,0.9985404708458692
55,2230.5379305313068,0.9989672863744514
56,2230.5589202271976,0.9990978197533094
57,2230.5757030962473,0.9992635685241757
58,2230.5967076049083,0.9990978197533094
59,2230.6177121135693,0.9991083968145132
60,2230.6387166222303,0.9993764319890224
61,2230.739458274842,0.9984699156258382
62,2230.760462783503,0.9981489951453094
63,2230.781467292164,0.9980044004968509
64,2230.802471800825,0.9976445315438889
65,2230.823476309486,0.9972071389541026
66,2230.8444363798358,0.9970202360608285
67,2230.8654705140375,0.9968473944371548
68,2230.882208944776,0.9967839320699311
69,2230.903243078978,0.9965898118878354
70,2230.945163219677,0.9962583143461027
71,2230.966197353879,0.9961700892120605
72,2230.987231488081,0.995954939343571
73,2231.008265622283,0.9960078246495907
74,2231.029299756485,0.9959337852211632
75,2231.0460381872235,0.9960360716248059
76,2231.0670723214257,0.9963394466273376
77,2231.0879583279225,0.996674552813481
78,2231.108992462124,0.9971859848316947
79,2231.1300265963264,0.9974964526870338
80,2231.1719467370253,0.9983676292221955
81,2231.2307534361676,0.9993200624746061
82,2231.3147418452704,1.001069632833751
83,2231.352514410211,1.0020184574417508
84,2231.373548544413,1.0023605320446876
85,2231.3945826786153,1.0025193123987606
86,2231.457536953516,1.003076661306201
87,2231.4784229600127,1.0032424100770672
88,2231.4953095184565,1.0031507007346285
89,2231.516195524953,1.003284718321883
90,2231.558263793357,1.0029567049885468
91,2231.5792979275593,1.0027273694144427
92,2231.6003320617615,1.0023818106031095
93,2231.6212180682583,1.002325316652679
94,2231.6422522024604,1.0023464707750869
95,2231.7010589016027,1.0015599107295567
96,2231.722093035805,1.00149993257073
97,2231.7429790423016,1.0012742056410364
98,2231.7850473107055,1.001016623091717
99,2231.822819875646,1.0009496765160968
100,2231.843854009848,1.0008967912100772
101,2231.864740016345,1.00106602418934
102,2231.885774150547,1.0011754034457903
103,2231.906808284749,1.0011436722621785
104,2231.927842418951,1.0013728834002684
105,2231.948728425448,1.0015633949379534
106,2231.9656149838916,1.0016057031827692
107,2231.9865009903883,1.0015422408155454
108,2232.0075351245905,1.0016127960355765
109,2232.070489399491,1.0021807220042207
110,2232.0915235336934,1.0022793997634527
111,2232.129296098634,1.0023218324442826
112,2232.19239850124,1.0020713427477705
113,2232.2132845077367,1.0018985011240968
114,2232.234318641939,1.0018314301124625
115,2232.2553527761406,1.0014928397179224
116,2232.272091206879,1.0013094210330449
117,2232.293125341081,1.0010907869561587
118,2232.314011347578,1.000875512651655
119,2232.3560796159823,1.0003571122166484
120,2232.377113750184,1.0002265788377904
121,2232.4148863151245,0.9992952997077875
122,2232.4988747242273,0.9989603179576583
123,2232.519760730724,0.9989778634356553
124,2232.5407948649263,0.9987167966779394
125,2232.578567429867,0.9990095946192671
126,2232.599601564069,0.9989884404968593
127,2232.683589973172,0.9996974769055653
128,2232.704624107374,0.9997221152363698
129,2232.7213625381123,1.0000043361164936
130,2232.742396672314,1.0001348694953516
131,2232.763430806516,1.0004452129146764
132,2232.784316813013,1.000547499318319
133,2232.805350947215,1.0006497857219618
134,2232.8263850814174,1.0007839277452306
135,2232.8472710879137,1.000939099454893
136,2232.8641576463574,1.0008931825656664
137,2232.885043652854,1.0008120502844315
138,2232.9691801896624,1.0002442487518015
139,2232.990066196159,0.9999726049328818
140,2233.0111003303614,0.9997609392727889
141,2233.027986888805,0.9992989083521983
142,2233.048872895302,0.9989672863744514
