date,x,y,z
2025-01-01 00:00:00.000,0.0,-0.0,-0.0
2025-01-02 00:00:00.000,-9.859609803676368e-21,9.960810973204874e-17,-8.008928025364702e-22
2025-01-03 00:00:00.000,-2.49066144699805e-17,-1.1211169117468855e-21,4.980176137787176e-17
2025-01-04 00:00:00.000,-1.0936426145790382e-20,9.960804556240754e-17,4.9804183232319185e-17
2025-01-05 00:00:00.000,-4.981514632173832e-17,9.960359774174322e-17,4.9801987382157754e-17
2025-01-06 00:00:00.000,-4.9815176125280174e-17,9.960358073634965e-17,4.9801991581387415e-17
2025-01-07 00:00:00.000,-4.8207947586206854e-21,-1.3157415613362479e-21,4.980405486092534e-17
2025-01-08 00:00:00.000,-9.588973214289697e-21,9.960810975436627e-17,-1.207855448582986e-21
2025-01-09 00:00:00.000,-4.9807875814293784e-17,-2.0777275932109556e-21,4.980023407247737e-17
2025-01-10 00:00:00.000,-1.0593504275504213e-20,9.960801795069957e-17,4.980423852963996e-17
2025-01-11 00:00:00.000,-4.980787992907439e-17,-2.2917394299902643e-21,4.9800229947676315e-17
2025-01-12 00:00:00.000,-4.980405507734334e-17,-1.6953275918391385e-21,-7.34925284639015e-22
2025-01-13 00:00:00.000,-4.641910870108915e-21,-1.7697415704345226e-21,4.980405486385599e-17
2025-01-14 00:00:00.000,-9.214863086087787e-21,9.960810978418044e-17,-1.5981710495148902e-21
2025-01-15 00:00:00.000,0.0,-0.0,-0.0
2025-01-16 00:00:00.000,0.0,-0.0,-0.0
2025-01-17 00:00:00.000,-8.991695487518085e-21,9.960810980136581e-17,-1.7870820394779824e-21
2025-01-18 00:00:00.000,-8.911915536408139e-21,9.960810980740352e-17,-1.849108476354461e-21
2025-01-19 00:00:00.000,-9.871606887946889e-21,9.960797853776968e-17,4.9804317503376043e-17
2025-01-20 00:00:00.000,0.0,-0.0,-0.0
2025-01-21 00:00:00.000,-9.677983323366631e-21,9.960797023496376e-17,4.980433414687633e-17
2025-01-22 00:00:00.000,-9.576593050400718e-21,9.960796615420979e-17,4.980434232792517e-17
2025-01-23 00:00:00.000,0.0,-0.0,-0.0
2025-01-24 00:00:00.000,-4.187937967184887e-21,-2.549210284905409e-21,4.980405487030149e-17
2025-01-25 00:00:00.000,-9.960811006002604e-17,-5.231811648837904e-21,-2.2678367087738477e-21
2025-01-26 00:00:00.000,-9.961097778213465e-17,-5.997059330380114e-21,4.979831921991795e-17
