ID,Frequency,Amplitude,Phase,SNR
,(d−1),(ppm),(rad),
ν1,0.9082 ± 0.0012,76 ± 11,−0.7 ± 0.9,5.7
ν2,2.0132 ± 0.0007,166 ± 14,−3.1 ± 0.5,8.5
ν3,2.0263 ± 0.0004,323 ± 18,2.0 ± 0.3,11.9
ν4,2.0487 ± 0.0004,2030 ± 100,2.0 ± 0.3,23.7
ν5,2.0721 ± 0.0006,204 ± 16,0.2 ± 0.5,10.2
ν6,2.0855 ± 0.0010,92 ± 12,0.5 ± 0.8,5.9
ν7 ∼ 2ν4,4.0834 ± 0.0007,264 ± 23,−2.4 ± 0.5,15.2
ν8 ∼ 3ν4,6.1300 ± 0.0015,76 ± 14,0.7 ± 1.2,9.2
