date,x,y,z
2018-01-01,-0.38590961290055026,-0.015382241665648375,0.031272387762024345
2018-01-02,-0.3902404610094921,-0.039322208009800304,0.018931917179066542
2018-01-03,-0.3926887578124635,-0.06304688417738682,0.006511302034027264
2018-01-04,-0.3933194439606763,-0.0864556158164685,-0.005928957092106085
2018-01-05,-0.3922005850494613,-0.10945701035230167,-0.018332983233206635
2018-01-06,-0.3894023843358187,-0.1319682068391523,-0.03064923534434609
2018-01-07,-0.3849963858934375,-0.15391415690276683,-0.04283020679132393
2018-01-08,-0.3790548408919728,-0.17522693244496748,-0.054832121226309614
2018-01-09,-0.37165021215486094,-0.19584507031984533,-0.0666146338789916
2018-01-10,-0.3628547949273571,-0.21571296007996418,-0.07814054380861743
2018-01-11,-0.3527404346086688,-0.23478027786664193,-0.08937552075417808
2018-01-12,-0.34137832490389963,-0.2530014673566442,-0.10028784878513072
2018-01-13,-0.3288388723398439,-0.27033526718290224,-0.11084818789864175
2018-01-14,-0.3151916153196817,-0.28674428325809564,-0.12102935394985956
2018-01-15,-0.300505187853396,-0.3021946038193683,-0.13080611677221268
2018-01-16,-0.2848473197984885,-0.3166554546816253,-0.14015501599200073
2018-01-17,-0.2682848669000616,-0.3300988920549525,-0.14905419382031163
2018-01-18,-0.2508838651530738,-0.34249953029247265,-0.15748324398315927
2018-01-19,-0.2327096050479477,-0.353834302044343,-0.16542307590152772
2018-01-20,-0.21382672212996723,-0.36408224846875836,-0.1728557932364685
2018-01-21,-0.19429930102637805,-0.373224337369139,-0.17976458595601882
2018-01-22,-0.17419099069357585,-0.3812433073722346,-0.1861336351498398
2018-01-23,-0.15356512912829892,-0.388123536523705,-0.19194802990639195
2018-01-24,-0.13248487619042398,-0.39385093394763887,-0.19719369566979042
2018-01-25,-0.1110133535068723,-0.3984128534931286,-0.20185733360789934
2018-01-26,-0.0892137906857204,-0.40179802856893754,-0.20592637064478445
2018-01-27,-0.06714967726746279,-0.4039965276493073,-0.20938891994076692
2018-01-28,-0.044884919986435075,-0.4049997302190253,-0.2122337517404827
2018-01-29,-0.022484005012637934,-0.4048003232164325,-0.2144502746544633
2018-01-30,-1.2164893181885496e-05,-0.4033923183311447,-0.2160285275939411
2018-01-31,0.02246445008537926,-0.4007710908215695,-0.21695918274304096
2018-02-01,0.04487859644256233,-0.39693344083835924,-0.21723356012923306
2018-02-02,0.06716175839063222,-0.3918776785764975,-0.2168436545435321
2018-02-03,0.08924396566636943,-0.38560373493248895,-0.21578217576860642
2018-02-04,0.11105360915325845,-0.3781132997164648,-0.2140426032974149
2018-02-05,0.13251725547537394,-0.3694099898601978,-0.21161925696879022
2018-02-06,0.1535594621814516,-0.3594995504716342,-0.20850738521051052
2018-02-07,0.17410259570972575,-0.3483900920072389,-0.2047032728644394
2018-02-08,0.19406665504937393,-0.336092367259149,-0.20020437087090723
2018-02-09,0.21336910493530528,-0.3226200922669583,-0.19500945040548703
2018-02-10,0.23192472355875116,-0.30799031564573526,-0.189118784384035
