date,distance_to_mercury,distance_to_venus,distance_to_earth,distance_to_sun
2024-07-13,0.6269195213448722,1.1511239536216331,0.6200107655670648,0.4545057367780217
2024-07-14,0.6354639937183199,1.17100424892954,0.6043252967727638,0.4744120920033064
2024-07-15,0.6423337270407236,1.1897362903976305,0.5894605359612688,0.49327783996606456
2024-07-16,0.6476291111188273,1.2073882131304094,0.5753180920647365,0.5111714359218205
2024-07-17,0.651439702231644,1.2240168739940196,0.5618153910667343,0.528151858953443
2024-07-18,0.6538462610100586,1.2396702896868557,0.548882676375719,0.5442703291539289
2024-07-19,0.6549223683961926,1.2543894523827264,0.5364607317101062,0.5595716387952091
2024-07-20,0.6547357326080263,1.268209704925567,0.5244991218502694,0.5740951983573956
2024-07-21,0.6533492685773132,1.2811617982739454,0.5129548138533216,0.5878758685855728
2024-07-22,0.6508220097225197,1.2932727157476192,0.5017910859694534,0.6009446296763449
2024-07-23,0.6472098969822271,1.30456632347763,0.4909766611461262,0.6133291248717685
2024-07-24,0.6425664797102857,1.315063889585239,0.48048502047970454,0.6250541061126065
2024-07-25,0.6369435557416306,1.3247845028377667,0.47029386224076986,0.63614180234863
2024-07-26,0.6303917730682059,1.3337454134988238,0.460384676926781,0.6466122262105218
2024-07-27,0.6229612122219315,1.3419623132929208,0.45074241182228736,0.6564834310602918
2024-07-28,0.6147019663937707,1.3494495673275475,0.4413552021596193,0.6657717278021625
2024-07-29,0.6056647350327493,1.356220407727706,0.43221415110226596,0.6744918687393726
2024-07-30,0.5959014460512402,1.3622870964493117,0.42331314636675255,0.6826572041640406
2024-07-31,0.5854659217516547,1.3676610631990571,0.4146487057195766,0.6902798163183468
2024-08-01,0.5744146037589136,1.3723530231348424,0.4062198462046441,0.6973706344569666
2024-08-02,0.5628073524446274,1.3763730780433792,0.39802797298372,0.7039395340081253
2024-08-03,0.5507083360602206,1.3797308036838822,0.390076784138382,0.709995421982798
2024-08-04,0.5381870242724279,1.3824353257821722,0.38237218769547054,0.7155463107158582
2024-08-05,0.5253192987142216,1.3844953868978005,0.37492222716994167,0.720599381859125
2024-08-06,0.5121886879041426,1.3859194053093105,0.36773701240479945,0.7251610414921396
2024-08-07,0.4988877258704415,1.3867155276136984,0.3608286516113117,0.7292369678495344
2024-08-08,0.4855194186746574,1.386891675945162,0.3542111805234234,0.7328321523716028
2024-08-09,0.47219877953797734,1.3864555905740183,0.3479004841841151,0.7359509346523796
2024-08-10,0.4590543579302994,1.3854148688397354,0.34191420621589674,0.7385970320722967
2024-08-11,0.44622963687451467,1.3837770013004738,0.33627163983149383,0.740773564835065
2024-08-12,0.43388410329155297,1.381549405421183,0.330993594670069,0.742483076533645
2024-08-13,0.4221937107194048,1.3787394573832432,0.3261022331970019,0.7437275506299782
2024-08-14,0.4113503598826478,1.3753545226752955,0.3216208708777638,0.7445084233015993
2024-08-15,0.40155994091948943,1.3714019854930004,0.3175737360874399,0.7448265924103404
2024-08-16,0.39303845176126306,1.366889277617335,0.31398568704195023,0.7446824229980172
2024-08-17,0.38600578376127775,1.361823907489822,0.31088188546208695,0.7440757497397029
2024-08-18,0.38067700706125157,1.3562134894748832,0.3082874309557193,0.7430058759627426
2024-08-19,0.3772514277211377,1.3500657736863737,0.30622696503613633,0.7414715691951976
2024-08-20,0.3759002827875058,1.3433886769535544,0.304724259765179,0.7394710533636123
2024-08-21,0.3767545363138793,1.33619031527959,0.3038018118327127,0.7370019974517189
2024-08-22,0.3798945980405711,1.3284790382432519,0.30348046579795956,0.7340615004525165
2024-08-23,0.3853436775149312,1.3202634658154981,0.30377908939191833,0.7306460723738859
2024-08-24,0.3930658420340199,1.3115525281116716,0.304714319693209,0.7267516109972711
2024-08-25,0.4029688480663528,1.3023555086399126,0.3063003935945676,0.7223733739992508
2024-08-26,0.41491082649039335,1.2926820916783495,0.30854907116238456,0.7175059459711938
2024-08-27,0.4287092538534579,1.2825424383178812,0.31146965417231576,0.7121431999901371
2024-08-28,0.44415058177120725,1.2719472489233088,0.31506910087196477,0.7062782554681555
2024-08-29,0.4609992969080602,1.2609076779333166,0.31935227214187384,0.6999034206759888
2024-08-30,0.4790052131871231,1.2494355954244347,0.324322222195275,0.693010133304672
2024-08-31,0.4979092210950675,1.2375435988502113,0.3299805953606852,0.6855888916371344
2024-09-01,0.5174473840147519,1.2252451034613243,0.3363280844941524,0.6776291737604596
2024-09-02,0.5373538186738306,1.2125544438649467,0.34336493962573683,0.6691193437907602
2024-09-03,0.5573628256259228,1.199486988583795,0.35109151171282615,0.6600465431736917
2024-09-04,0.577210710415793,1.186059269322477,0.35950881938503243,0.650396564223006
2024-09-05,0.5966376462247365,1.1722891269350963,0.36861913012403247,0.6401537025156051
2024-09-06,0.6153898045769042,1.1581958762644438,0.37842655190087116,0.6293005839132371
2024-09-07,0.6332218431817143,1.143800492230462,0.3889376366919455,0.6178179609620958
2024-09-08,0.6498997047020199,1.1291258195875726,0.4001620033792762,0.6056844719367568
2024-09-09,0.6652035618935521,1.1141968088759298,0.4121129934607712,0.5928763540821994
2024-09-10,0.6789306568670008,1.0990407808928182,0.42480837902952145,0.5793671001454013
2024-09-11,0.6908977369235044,1.0836877214819718,0.4382711491987486,0.5651270439832187
2024-09-12,0.7009427921881969,1.0681706074448036,0.4525304096265842,0.5501228566369776
2024-09-13,0.7089258473380524,1.052525762480942,0.46762244125786684,0.5343169281973554
2024-09-14,0.7147286372625596,1.036793238591205,0.4835919802928867,0.51766660220203
2024-09-15,0.7182530830397517,1.0210172124581856,0.500493804182711,0.5001232172882556
2024-09-16,0.7194185548719224,1.0052463759470378,0.5183947436109445,0.48163089334264486
2024-09-17,0.7181579385744511,0.989534281972891,0.5373762959856276,0.46212497390313334
2024-09-18,0.714412489624922,0.9739395753539606,0.5575381039631665,0.4415299983607098
2024-09-19,0.7081253404540566,0.9585259813989058,0.5790027011363562,0.4197570194040461
