date,mercury_x,mercury_y,mercury_z,venus_x,venus_y,venus_z,earth_x,earth_y,earth_z,psp_x,psp_y,psp_z
2018-08-15,0.3547007083871784,-0.10308115924411806,-0.09255053406316247,0.09738326603931567,-0.6485672976943925,-0.29816175134009076,0.7972519823531784,-0.5670786062928657,-0.24592707750475398,0.7846084497226031,-0.6394669808421262,-0.002625456573704423
2018-08-16,0.3584982255317253,-0.07831885650910259,-0.07971722369220449,0.11724509066030511,-0.645458692710602,-0.29802008236602784,0.807468104030359,-0.5546279746021734,-0.24052981225878517,0.7902370901346913,-0.6312472986437023,-0.003600810286949164
2018-08-17,0.3603215514812921,-0.053090035836250764,-0.06643005584030084,0.13701703757117406,-0.6418489976975459,-0.29764726256988916,0.8174527250222574,-0.5420181874341033,-0.23506338416923397,0.7956405494168257,-0.6228461124450573,-0.004574952502572719
2018-08-18,0.36006630986648536,-0.027518180044911078,-0.05274417428211206,0.1566839356241008,-0.6377411309955605,-0.29704364510897563,0.8272031112924728,-0.529253023752577,-0.22952943386103586,0.8008163253115156,-0.6142656503851734,-0.005547667643133305
2018-08-19,0.35763359276830653,-0.0017414811713224489,-0.03872314720346351,0.17623070163785684,-0.6331383852822012,-0.29620975713827763,0.8367166308422835,-0.5163362371585283,-0.22392959876543073,0.8057619643260784,-0.605507968746094,-0.006518709176701326
2018-08-20,0.3529324990423432,0.024086442285881755,-0.02443961347311043,0.19564235127207688,-0.6280444247560991,-0.2951462992314674,0.8459907357660851,-0.5032715586068179,-0.21826551250736864,0.810474736462952,-0.5965751957714057,-0.0074878643367743995
2018-08-21,0.3458831338722563,0.049796124361512616,-0.009975818476192479,0.21490400981145083,-0.6224632820769453,-0.2938541446864663,0.855022949619454,-0.49006270076743125,-0.21253880543516437,0.8149499797316141,-0.5874713004777571,-0.008454880049749116
2018-08-22,0.33642006900784144,0.07520225226056067,0.004576027534519817,0.23400092285190308,-0.6163993550650987,-0.29233433871665787,0.8638108585000616,-0.4767133622984815,-0.20675110546256764,0.8191859352421458,-0.5781973444137489,-0.009419436185148788
2018-08-23,0.3244962260182431,0.1001042323466865,0.019113649243618327,0.25291846688592523,-0.6098574031630228,-0.29058809752855735,0.8723521044070606,-0.4632272313407816,-0.20090403873750654,0.8231815723539097,-0.568753541922184,-0.010381201228056918
2018-08-24,0.3100870940263545,0.1242874759564335,0.03352495593054728,0.2716421597794845,-0.6028425436621077,-0.2886168072870574,0.8806443796026303,-0.4496079880057457,-0.19499922990507404,0.8269341554970832,-0.5591416265598322,-0.011339878086579233
2018-08-25,0.29319512911586415,0.1475255568475744,0.04768873791469564,0.29015767113596147,-0.5953602476977539,-0.28642202296925384,0.8886854207707688,-0.43585930610058227,-0.18903830203215427,0.8304408545895746,-0.5493633054122781,-0.012295163590635738
2018-08-26,0.27385410822720385,0.16958336921839762,0.061475902215157044,0.3084508325425916,-0.5874163360154168,-0.28400546710777963,0.8964730021657462,-0.4219848548981953,-0.18302287654333832,0.8336987408041766,-0.5394202635220152,-0.013246748791041166
2018-08-27,0.25213313335635507,0.19022136565894665,0.07475132135137788,0.32650764769273416,-0.5790169745113227,-0.2813690284248912,0.9040049277252995,-0.40798830199973457,-0.17695457359139552,0.8367047821954198,-0.5293141685395703,-0.014194318043471215
2018-08-28,0.22813991453470048,0.2092008738999128,0.08737633319103594,0.3443143023799276,-0.5701686695505963,-0.2785147603582856,0.9112790228041019,-0.3938733180269123,-0.17083501311355845,0.8394558326316183,-0.5190466733517222,-0.015137549103333427
2018-08-29,0.20202291902998665,0.2262903804346374,0.09921187482230218,0.3618571743588253,-0.56087826306589,-0.2754448794797245,0.9182931263243507,-0.3796435833203454,-0.16466581660113627,0.8419486297580421,-0.5086194207026851,-0.016076112151992866
2018-08-30,0.173971978040288,0.24127253611643817,0.11012216199718344,0.3791228430672033,-0.5511529274401091,-0.27216176380771795,0.9250450838566814,-0.36530279650902736,-0.15844860955251883,0.8441797886454386,-0.49803404648010696,-0.01700966935743253
2018-08-31,0.1442170068840521,0.2539515007334452,0.11997874521063645,0.3960980992048644,-0.541000160176189,-0.2686679510153295,0.9315327419240347,-0.3508546848789567,-0.15218502468119743,0.846145795143746,-0.48729218512446854,-0.01793787477610251
2018-09-01,0.11302462774823996,0.264160125398153,0.12866469656435564,0.41276995416434176,-0.5304277783573252,-0.26496613653431345,0.9377539439188021,-0.33630301662950973,-0.14587670602712716,0.8478430485163305,-0.4763953526272845,-0.01886035892338163
2018-09-02,0.0806926784985122,0.271766402032473,0.13607862425162823,0.4291256493086965,-0.5194439129009737,-0.2610591715567787,0.9437065282689592,-0.32165161510676255,-0.13952531405900923,0.8492678184872124,-0.465345038550061,-0.0197767386877231
2018-09-03,0.047542822726051294,0.27667861303664615,0.14213818951843912,0.44515266509193696,-0.5080570026098152,-0.2569500609355325,0.9493883296798663,-0.30690437501003875,-0.1331325317597391,0.8504160530760965,-0.45414316504090424,-0.0206866719398994
2018-09-04,0.01391170626759936,0.2788487035804166,0.14678282483764474,0.4608387300166616,-0.4962757880236205,-0.2526419609845342,0.9547971845817113,-0.2920652804665979,-0.1267000716846984,0.8512836543790303,-0.4427913971661666,-0.02158977231695988
2018-09-05,-0.019858710993593744,0.27827356703887535,0.14997542279299897,0.4761718294253325,-0.48410930507478694,-0.2481381771804836,0.9599309425722665,-0.2771384244457275,-0.12022968395761006,0.8518663594117628,-0.43129141524515724,-0.022485641363371413
