,Time (BJD-2454833),Relative Flux
0,2228.8205675375552,0.9998027430724963
1,2228.8415720462162,0.9999692384599967
2,2228.8625765548773,1.0000401296574999
3,2228.9003639325883,0.9999389009596436
4,2228.9213684412493,0.9999350185559888
5,2228.9423729499104,0.9998859907662465
6,2228.9633774585714,0.9998785743797779
7,2228.98432271615,0.9998962194066445
8,2229.005327224811,0.999794629844346
9,2229.026331733472,0.9998729374283176
10,2229.0641042984125,1.000004503626527
11,2229.0851088070735,0.9999198498058122
12,2229.1061133157345,0.9999269053278386
13,2229.1271178243956,1.0000076767448989
14,2229.1900720992962,0.9999159674021575
15,2229.2069142194287,0.9999808732273595
16,2229.2698684943293,1.0002806893608749
17,2229.3328820203124,1.0001145548378167
18,2229.353827277891,1.0001702897287446
19,2229.433623672924,1.0001276081757455
20,2229.496637198907,1.0003632402129436
21,2229.5344097638476,1.000269403014353
22,2229.5554142725086,1.0002789348130694
23,2229.5763595300873,1.0003410159407407
24,2229.5973640387483,1.0002556528347426
25,2229.6603775647313,1.0002782255277864
26,2229.6771604337814,1.0002281400319202
27,2229.7401739597644,1.0000701187370122
28,2229.782123726004,1.0000330741354735
29,2229.819911103715,0.9999836979248903
30,2229.840915612376,0.9999642983502182
31,2229.882924629698,0.9999353669768296
32,2229.903929138359,0.9999018563581047
33,2229.924874395938,0.9998789352442201
34,2229.945878904599,0.9998401360948759
35,2229.98366628231,0.999952651139254
36,2230.004670790971,0.9998073223178325
37,2230.0466649955224,0.9997586553925325
38,2230.0676695041834,0.9997829826333818
39,2230.0886740128444,0.9996926918612067
40,2230.1096192704235,0.9997198562431883
41,2230.1264613905555,0.9996796385232778
42,2230.1474658992165,0.9996803478085609
43,2230.168411156795,0.9997096151591888
44,2230.231424682778,0.9998256766299823
45,2230.252429191439,0.9997064420408172
46,2230.33216633539,0.9997462988962853
47,2230.353170844051,0.9998415422218405
48,2230.374175352712,0.9997780549672047
49,2230.395179861373,0.9997932237173813
50,2230.416184370034,0.9998676488976982
51,2230.432967239084,0.9998358928267789
52,2230.453971747745,0.9998588263842649
53,2230.474976256406,0.9999794546567933
54,2230.4959659522965,0.9999992150959077
55,2230.5169260226457,1.000003794341244
56,2230.5379305313068,0.9999727599992092
57,2230.5589202271976,1.000019323955863
58,2230.5757030962473,1.000121958780684
59,2230.5967076049083,1.0001212619390023
60,2230.6177121135693,1.0001441830528868
61,2230.6387166222303,1.000112091004728
62,2230.7226754057924,1.0001071508949495
63,2230.739458274842,1.0001702897287446
64,2230.760462783503,1.0002665907604236
65,2230.781467292164,1.0003523022872625
66,2230.802471800825,1.0002277791674778
67,2230.823476309486,1.0002944519840868
68,2230.8654705140375,1.0002143774087082
69,2230.92427721318,1.0003720502827755
70,2230.966197353879,1.0002281400319202
71,2230.987231488081,1.0002344862686634
72,2231.029299756485,1.0001872254703281
73,2231.0460381872235,1.0001618280797535
74,2231.0670723214257,1.000132187421082
75,2231.0879583279225,1.0001530055663201
76,2231.108992462124,1.000206264180558
77,2231.1300265963264,1.0001381852369844
78,2231.150912602823,1.000197802531567
79,2231.1719467370253,1.0001508901540723
80,2231.188833295469,1.000059529232172
81,2231.2307534361676,1.0000598776530127
82,2231.2517875703697,1.0000189630914207
83,2231.2726735768665,1.000017556964456
84,2231.2937077110687,0.9999431317841391
85,2231.314741845271,0.9999575912490326
86,2231.3357759794726,1.0000313071440665
87,2231.373548544413,0.9999614736526873
88,2231.457536953516,0.9999385400952012
89,2231.4784229600127,0.9999367731037943
90,2231.4953095184565,0.9999036233495117
91,2231.516195524953,0.9998951492569191
92,2231.5372296591554,0.9999477110294754
93,2231.5582637933576,0.9999325547229002
94,2231.5792979275593,0.9999378432535196
95,2231.6003320617615,0.9999283114548032
96,2231.6212180682583,0.99989797395445
97,2231.6422522024604,0.9998687066038221
98,2231.659138760904,0.9998090893092395
99,2231.7429790423016,0.9998249673446993
100,2231.764013176504,0.9998164932521068
101,2231.7850473107055,0.9997769848174793
102,2231.8017857414443,0.9998164932521068
103,2231.822819875646,0.9998038007786201
104,2231.843854009848,0.9997766363966385
105,2231.864740016345,0.99975018129994
106,2231.885774150547,0.9998729374283176
107,2231.906808284749,0.9998122624276112
108,2231.927842418951,0.9998140294190181
109,2231.948728425448,0.9997794610941694
110,2231.9656149838916,0.9998563625511764
111,2232.0075351245905,0.9998059161908679
112,2232.0285692587922,0.9998179118226729
113,2232.049455265289,0.9997755786905147
114,2232.070489399491,0.9998221426471684
115,2232.0915235336934,0.9998083800239564
116,2232.1082619644317,0.9998161448312659
117,2232.129296098634,0.9998203756557614
118,2232.150330232836,0.9998761105466893
119,2232.2132845077367,0.9997921660112574
120,2232.234318641939,0.9998951492569191
121,2232.2553527761406,0.999824606480257
122,2232.2720912068794,0.9998482493230261
123,2232.293125341081,0.9998556532658933
124,2232.314011347578,0.9999043326347947
125,2232.33504548178,0.9997949782651868
126,2232.3560796159823,0.9997702901598953
127,2232.3771137501844,0.9998232003532923
128,2232.3979997566807,0.9998027430724963
129,2232.4148863151245,0.9998387175243096
130,2232.4359204493267,0.9998584655198226
131,2232.4568064558234,0.9998436576340883
132,2232.519760730724,0.9999142004107505
133,2232.5618289991285,0.9997999183749654
134,2232.599601564069,0.9999149096960336
135,2232.6206356982707,0.9999812216482002
136,2232.683589973172,0.9999766424028639
137,2232.7213625381123,0.9999053903409186
138,2232.763430806516,0.9999745269906162
139,2232.784316813013,0.999962170494369
140,2232.805350947215,1.0000034459204032
141,2232.8263850814174,0.9999558242576256
142,2232.8472710879137,0.9999896832971913
