ID,Frequency,Amplitude,Phase,SNR
,(d−1),(ppm),(rad),
ν1,0.8584 ± 0.0009,38 ± 4,2.0 ± 0.7,6.6
ν2,0.9031 ± 0.0006,58 ± 4,0.4 ± 0.5,10
ν3,0.9632 ± 0.0013,17 ± 3,0.2 ± 1.0,3.9
ν4 ∼ 2ν2,1.7986 ± 0.0011,24 ± 4,−1.5 ± 0.9,5.2
ν5 ∼ 2ν3,1.9183 ± 0.0013,18 ± 3,−2.2 ± 1.0,4.2
ν6 ∼ 2ν3,1.9377 ± 0.0010,32 ± 4,−1.9 ± 0.8,5.6
ν7 ∼ ν2 + 2ν3 − ν1,1.9842 ± 0.0013,19 ± 3,−2.0 ± 1.0,4.5
